,id,title,poster
0,tt0075617,ABBA: The Movie (1977),"https://m.media-amazon.com/images/M/MV5BMzI1ZDU3YWMtNDZhMC00MWFjLTk5ZDctZjQ3YmVhNzBjM2NjXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_QL75_UY281_CR2,0,190,281_.jpg"
1,tt2926810,ABCs of Death 2 (2014),"https://m.media-amazon.com/images/M/MV5BNjM5NzY4NTcyMF5BMl5BanBnXkFtZTgwMDU1MjczMjE@._V1_QL75_UX190_CR0,3,190,281_.jpg"
2,tt0268978,A Beautiful Mind (2001),"https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg"
3,tt0060165,A Big Hand for the Little Lady (1966),"https://m.media-amazon.com/images/M/MV5BZWE1ODI2ZjEtZGM0My00NmU3LWJiZDktYmE2ZWUzNDQzNTE4XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,3,190,281_.jpg"
4,tt1582465,A Birder's Guide to Everything (2013),"https://m.media-amazon.com/images/M/MV5BMTU5NDIzNjY1M15BMl5BanBnXkFtZTgwOTUyNDIzMTE@._V1_QL75_UY281_CR1,0,190,281_.jpg"
5,tt0085303,A Blade in the Dark (1983),"https://m.media-amazon.com/images/M/MV5BYjc0MDY5M2ItOGQ0NS00OTNmLTg3YWItZTQ5ODQ2NmNkZWVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,20,190,281_.jpg"
6,tt0056886,A Boy Ten Feet Tall (1963),"https://m.media-amazon.com/images/M/MV5BYjFiOTFlNjctNmU2Mi00OGU3LTliMzAtZTBhOTA2OTIzZWQyXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_QL75_UX190_CR0,4,190,281_.jpg"
7,tt0053675,A Breath of Scandal (1960),"https://m.media-amazon.com/images/M/MV5BODRmYTc2MWQtY2Q4MS00OTExLWI1M2QtZTZlM2U0NjFkNTY5XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UX190_CR0,4,190,281_.jpg"
8,tt0075784,A Bridge Too Far (1977),"https://m.media-amazon.com/images/M/MV5BNWRjZmZmYmItYzczOS00NjY4LTk3ODItNGU3ZDQ2ZGJkYmZiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,5,190,281_.jpg"
9,tt0106489,A Bronx Tale (1993),"https://m.media-amazon.com/images/M/MV5BOTY5OGI3ZWQtNzk3ZS00YTYxLWJhZWEtMjc5YTJkZmMzOWJhXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,0,190,281_.jpg"
